TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
25-05-2019,25,34.4,28.6,71,0,8.6,6,140,2,SE
26-05-2019,25,36,29.5,72,0,8.6,5,120,2,E 
27-05-2019,26,35.8,29.9,73,0,8.4,5,140,2,SE
28-05-2019,27,36,29.9,73,0,8,5,130,2,SE
29-05-2019,27,35.4,30.5,73,0,8.6,5,140,2,SE
30-05-2019,26,34.6,28.9,74,0,8.6,6,130,2,E 
31-05-2019,25,35,29.1,76,0,8.6,7,130,3,SE
1/6/2019,24,34.9,28.9,72,0,8.4,5,150,2,SE
2/6/2019,25,33.4,28.5,74,0,8.8,4,60,2,E 
3/6/2019,25,32.9,28.5,75,0,6.5,3,120,1,NE
4/6/2019,25,33.9,28.3,77,0,3.5,4,150,2,SE
5/6/2019,25,34.8,29.1,75,0,1.8,5,150,3,SE
6/6/2019,26,35,29.4,74,0,7.8,6,150,2,SE
7/6/2019,26,34.2,29.3,75,0,8.6,6,150,2,SE
8/6/2019,25,34.9,28.5,74,0,8.5,4,70,2,C 
9/6/2019,25,35.5,29.3,71,0,8.5,5,100,2,SE
10/6/2019,25,36.5,29.5,72,0,5.8,4,130,2,SE
11/6/2019,25,35.9,29.2,71,0,8.5,4,120,2,SE
12/6/2019,25,35.4,29.1,70,0,8.4,5,60,2,W 
13-06-2019,25,32.7,28.6,76,0,8.4,3,210,2,SE
14-06-2019,26,34.1,29.4,75,0,1.1,4,80,2,E 
15-06-2019,26,35.3,29.4,74,0,0.8,5,110,2,SE
16-06-2019,24,34.5,28.1,75,0,7.5,5,80,2,E 
17-06-2019,24,35.7,27.9,72,0,8,5,150,2,SE
18-06-2019,24,34.1,27.6,75,0,8,5,130,2,SE
19-06-2019,24,34.2,27.5,72,0,8.8,4,140,2,SE
20-06-2019,24,34.1,27.8,71,0,8.1,5,100,2,S 
21-06-2019,22,33.6,27.1,72,0,7.1,6,100,2,SE
22-06-2019,23,34.2,27.6,76,0,8.4,5,180,2,SE
23-06-2019,24,34.5,27.8,73,0,8,6,140,2,SE
24-06-2019,24,34.1,27.8,70,0,8.8,6,130,3,SE
25-06-2019,24,33.5,27.6,72,0,8.2,6,150,3,SE
26-06-2019,23,34.4,27.9,72,0,8.8,6,140,2,SE
27-06-2019,24,34.4,28.2,71,0,8,5,140,2,SE
28-06-2019,23,32.5,26.9,68,0,8.4,5,110,2,SE
29-06-2019,22,32.6,26.5,71,0,8.2,5,130,2,SE
30-06-2019,23,32.8,26.4,70,0,8.3,3,110,2,SE
1/7/2019,22,33.9,26.9,72,0,8.3,5,140,3,SE
2/7/2019,22,33.9,28,70,0,8.5,6,120,2,SE
3/7/2019,23,34.5,28.9,72,0,7.6,5,120,2,SE
4/7/2019,26,32.6,28.3,80,0,7.6,5,160,3,SE
5/7/2019,26,33.8,28.9,78,8888,4.2,5,140,3,SE
6/7/2019,24,34.2,28.1,75,8888,8,6,160,3,E 
7/7/2019,25,33.4,28.2,71,0,8.4,7,130,3,SE
8/7/2019,24,32.4,27.3,72,0,8.8,7,120,3,SE
9/7/2019,23,32.7,26.6,72,0,8,6,120,2,SE
10/7/2019,22,33.8,27.4,70,0,8.7,5,140,2,SE
11/7/2019,23,33.2,27.1,74,0,8.5,7,140,3,SE
12/7/2019,23,34.6,27.6,70,0,8.5,5,110,2,SE
13-07-2019,23,33.4,27.3,69,0,9,6,130,2,SE
14-07-2019,22,32.6,26.4,69,0,8.3,5,130,2,SE
15-07-2019,22,33.6,27.1,66,0,8.7,7,130,2,SE
16-07-2019,23,34.3,27.1,68,0,8.8,5,110,2,E 
17-07-2019,22,34,27.3,71,0,8.8,5,120,2,S 
18-07-2019,22,34.2,28,67,0,8.8,7,120,2,SE
19-07-2019,24,32.1,27.9,74,0,8.6,6,150,3,S 
20-07-2019,25,34.6,29,73,0,0.5,8,130,3,SE
21-07-2019,24,35,28.4,72,0,7.8,6,130,3,SE
22-07-2019,23,34,27.3,70,0,8.5,6,140,3,SE
23-07-2019,23,33.9,27.2,72,0,8.9,5,110,2,SE
24-07-2019,24,34,27.5,74,0,8.2,5,140,2,SE
25-07-2019,23,33.9,27.1,70,0,7.9,6,160,2,SE
26-07-2019,23,34.7,28.2,70,0,8.8,4,70,2,E 
27-07-2019,23,34,27.6,74,0,9,6,110,2,SE
28-07-2019,24,33.8,28.1,71,0,8.3,5,120,2,SE
29-07-2019,23,34.4,27.4,68,0,7.5,5,170,2,S 
30-07-2019,22,34.1,27.5,72,0,8.7,5,90,2,SE
31-07-2019,21,33.5,27.6,71,0,8.6,6,170,3,SE
1/8/2019,23,33.4,27.5,72,0,8.8,7,150,3,SE
2/8/2019,23,34.1,27.9,71,0,8.6,7,120,3,SE
3/8/2019,23,32.8,27.1,71,0,8.6,7,120,2,SE
4/8/2019,23,33,27.4,67,0,8.8,6,170,2,S 
5/8/2019,22,33.8,28,67,0,8.6,6,140,3,E 
6/8/2019,22,33.4,26.6,68,0,8.8,5,100,2,C 
7/8/2019,22,34.2,26.9,68,0,8.5,6,140,2,SE
8/8/2019,22,34,27,70,0,8.4,6,100,2,E 
9/8/2019,23,34.4,27.7,70,0,7.3,5,120,3,E 
10/8/2019,23,35.2,27.6,69,0,8,6,120,3,SE
11/8/2019,24,33,27.4,75,0,7.8,7,140,3,SE
12/8/2019,23,34.2,27.1,76,0,7.9,8,160,4,SE
13-08-2019,24,32.5,28.9,73,0,7.8,8,150,4,SE
14-08-2019,26,32.9,28.8,73,0,8.2,7,150,4,SE
15-08-2019,25,33.6,28.2,76,0,8.2,5,90,3,E 
16-08-2019,24,33.2,27.6,74,0,7.3,6,120,3,SE
17-08-2019,24,34.3,27.7,70,0,8,6,130,3,SE
18-08-2019,23,34,27.3,67,0,8.2,6,170,3,SE
19-08-2019,23,34.2,27.2,70,0,8.3,5,140,2,C 
20-08-2019,24,34.2,28.4,66,0,8.6,8,170,3,S 
21-08-2019,24,33.6,28.8,70,0,8.2,7,140,4,SE
22-08-2019,26,34.1,29.1,70,0,8.4,7,160,3,SE
